"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_initial_bias"
"04/19/2022 17:36:52:235 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"3","false","0.2","0","false","0.1","1","0","14","false","true"
"1","false","0.2","0","false","0.1","1","0","14","false","true"
"4","false","0.2","0","false","0.1","1","0","14","false","true"
"2","false","0.2","0","false","0.1","1","0","17","false","true"
"5","false","0.2","0","false","0.1","1","0","15","false","true"
"7","false","0.2","0","false","0.1","1","0","15","false","true"
"8","false","0.2","0","false","0.1","1","0","12","false","true"
"6","false","0.2","0","false","0.1","1","0","21","false","true"
"10","false","0.2","0","false","0.1","1","0","15","false","true"
"12","false","0.2","0","false","0.1","1","0","13","false","true"
"11","false","0.2","0","false","0.1","1","0","15","false","true"
"9","false","0.2","0","false","0.1","1","0","27","false","true"
"13","false","0.2","0","false","0.1","1","0","14","false","true"
"15","false","0.2","0","false","0.1","1","0","15","false","true"
"14","false","0.2","0","false","0.1","1","0","19","false","true"
"16","false","0.2","0","false","0.1","1","0","16","false","true"
"18","false","0.2","0","false","0.1","1","0","13","false","true"
"17","false","0.2","0","false","0.1","1","0","27","false","true"
"20","false","0.2","0","false","0.1","1","0","15","false","true"
"19","false","0.2","0","false","0.1","1","0","25","false","true"
"21","false","0.2","0","false","0.1","1","0","13","false","true"
"22","false","0.2","0","false","0.1","1","0","13","false","true"
"23","false","0.2","0","false","0.1","1","0","17","false","true"
"24","false","0.2","0","false","0.1","1","0","14","false","true"
"25","false","0.2","0","false","0.1","1","0","14","false","true"
"26","false","0.2","0","false","0.1","1","0","15","false","true"
"27","false","0.2","0","false","0.1","1","0","12","false","true"
"28","false","0.2","0","false","0.1","1","0","16","false","true"
"29","false","0.2","0","false","0.1","1","0","14","false","true"
"31","false","0.2","0","false","0.1","1","0","16","false","true"
"30","false","0.2","0","false","0.1","1","0","25","false","true"
"34","false","0.2","0","false","0.1","1","0","16","false","true"
"32","false","0.2","0","false","0.1","1","0","21","false","true"
"33","false","0.2","0","false","0.1","1","0","22","false","true"
"35","false","0.2","0","false","0.1","1","0","17","false","true"
"36","false","0.2","0","false","0.1","1","0","16","false","true"
"39","false","0.2","0","false","0.1","1","0","13","false","true"
"38","false","0.2","0","false","0.1","1","0","17","false","true"
"37","false","0.2","0","false","0.1","1","0","25","false","true"
"41","false","0.2","0","false","0.1","1","0","11","false","true"
"40","false","0.2","0","false","0.1","1","0","19","false","true"
"42","false","0.2","0","false","0.1","1","0","21","false","true"
"45","false","0.2","0","false","0.1","1","0","14","false","true"
"43","false","0.2","0","false","0.1","1","0","24","false","true"
"44","false","0.2","0","false","0.1","1","0","23","false","true"
"46","false","0.2","0","false","0.1","1","0","16","false","true"
"48","false","0.2","0","false","0.1","1","0","17","false","true"
"49","false","0.2","0","false","0.1","1","0","13","false","true"
"47","false","0.2","0","false","0.1","1","0","23","false","true"
"51","false","0.2","0","false","0.1","1","0","13","false","true"
"50","false","0.2","0","false","0.1","1","0","13","false","true"
"52","false","0.2","0","false","0.1","1","0","14","false","true"
"53","false","0.2","0","false","0.1","1","0","15","false","true"
"55","false","0.2","0","false","0.1","1","0","12","false","true"
"56","false","0.2","0","false","0.1","1","0","13","false","true"
"54","false","0.2","0","false","0.1","1","0","15","false","true"
"57","false","0.2","0","false","0.1","1","0","16","false","true"
"58","false","0.2","0","false","0.1","1","0","15","false","true"
"59","false","0.2","0","false","0.1","1","0","16","false","true"
"60","false","0.2","0","false","0.1","1","0","18","false","true"
"61","false","0.2","0","false","0.1","1","0","17","false","true"
"63","false","0.2","0","false","0.1","1","0","14","false","true"
"62","false","0.2","0","false","0.1","1","0","18","false","true"
"65","false","0.2","0","false","0.1","1","0","14","false","true"
"64","false","0.2","0","false","0.1","1","0","28","false","true"
"66","false","0.2","0","false","0.1","1","0","19","false","true"
"67","false","0.2","0","false","0.1","1","0","13","false","true"
"68","false","0.2","0","false","0.1","1","0","15","false","true"
"69","false","0.2","0","false","0.1","1","0","15","false","true"
"70","false","0.2","0","false","0.1","1","0","16","false","true"
"72","false","0.2","0","false","0.1","1","0","20","false","true"
"71","false","0.2","0","false","0.1","1","0","20","false","true"
"73","false","0.2","0","false","0.1","1","0","19","false","true"
"74","false","0.2","0","false","0.1","1","0","17","false","true"
"75","false","0.2","0","false","0.1","1","0","14","false","true"
"76","false","0.2","0","false","0.1","1","0","17","false","true"
"78","false","0.2","0","false","0.1","1","0","16","false","true"
"77","false","0.2","0","false","0.1","1","0","18","false","true"
"79","false","0.2","0","false","0.1","1","0","22","false","true"
"80","false","0.2","0","false","0.1","1","0","15","false","true"
"81","false","0.2","0","false","0.1","1","0","15","false","true"
"82","false","0.2","0","false","0.1","1","0","18","false","true"
"83","false","0.2","0","false","0.1","1","0","13","false","true"
"85","false","0.2","0","false","0.1","1","0","13","false","true"
"84","false","0.2","0","false","0.1","1","0","18","false","true"
"86","false","0.2","0","false","0.1","1","0","19","false","true"
"87","false","0.2","0","false","0.1","1","0","15","false","true"
"90","false","0.2","0","false","0.1","1","0","13","false","true"
"91","false","0.2","0","false","0.1","1","0","12","false","true"
"88","false","0.2","0","false","0.1","1","0","26","false","true"
"89","false","0.2","0","false","0.1","1","0","22","false","true"
"93","false","0.2","0","false","0.1","1","0","14","false","true"
"92","false","0.2","0","false","0.1","1","0","21","false","true"
"94","false","0.2","0","false","0.1","1","0","16","false","true"
"95","false","0.2","0","false","0.1","1","0","17","false","true"
"98","false","0.2","0","false","0.1","1","0","17","false","true"
"96","false","0.2","0","false","0.1","1","0","25","false","true"
"99","false","0.2","0","false","0.1","1","0","13","false","true"
"97","false","0.2","0","false","0.1","1","0","22","false","true"
"100","false","0.2","0","false","0.1","1","0","11","false","true"
"101","false","0.2","0","false","0.1","1","0","15","false","true"
"102","false","0.2","0","false","0.1","1","0","13","false","true"
